"name","releaseDate","isoDownloads","pxeDownloads"
"v2.0.0-beta2","2020-11-19","19",
"v1.9.0-rc1","2020-11-23","34",
"v1.9.0","2020-12-14","125",
"v1.9.1-rc1","2021-01-07","27","3"
"v2.0.0-beta3","2021-01-24","System.Object[]","4"
"v1.9.1","2021-02-02","304","7"
"v1.9.2-rc1","2021-04-12","19","9"
"v2.0.0-beta4","2021-04-12","229","16"
"v1.9.2-rc2","2021-04-23","19","8"
"v1.9.2-rc3","2021-06-10","142","7"
"v1.9.2","2021-08-11","122","12"
"v1.9.3","2021-10-12","244","5"
"v1.9.4-rc1","2022-03-09","10","1"
"v1.9.4","2022-03-11","58","12"
"v1.9.5-rc1","2022-03-17","91","10"
"v2.0.0-beta5","2022-08-03","61","3"
"v1.9.5","2022-09-15","120","9"
"v1.9.6","2023-01-02","289","20"
"v2.0.0-beta6","2023-01-22","104","11"
"v1.9.7-rc1","2023-02-01","76","8"
"v2.0.0-beta7","2023-08-11","28","5"
"v2.0.0-rc1","2023-08-20","85","6"
"v2.0.0-rc2","2023-12-19","65","9"
"v2.0.0","2024-03-05","675","5"
"v2.0.1","2024-04-12","575","10"
"v2.0.2-rc1","2024-06-07","52","8"
"v2.0.2-rc2","2024-10-20","48","8"
